C:\Users\Healthy\AppData\Local\Programs\Python\Python38-32\python.exe "C:/Users/Healthy/Desktop/AI Project 1/actual main.py"
3*3 - Hamming
Puzzle Number     Nodes Expanded     Steps Taken            Puzzle
---------------------------------------------------------------------------
20                          1458              24    [3, 5, 2, 0, 7, 8, 4, 6, 1]             
21                           120              15    [1, 3, 6, 8, 7, 5, 0, 4, 2]             
22                           159              17    [1, 2, 5, 8, 4, 7, 0, 6, 3]             
23                           692              22    [6, 8, 3, 0, 4, 2, 7, 1, 5]             
24                           113              17    [1, 6, 5, 3, 2, 8, 0, 4, 7]             
25                           241              18    [1, 2, 4, 0, 7, 5, 3, 8, 6]             
26                           179              18    [6, 2, 3, 8, 1, 5, 4, 0, 7]             
27                           827              23    [1, 4, 5, 8, 6, 7, 2, 3, 0]             
28                           434              20    [4, 0, 2, 3, 8, 5, 7, 1, 6]             
29                           535              22    [5, 6, 4, 3, 8, 2, 7, 0, 1]             
30                           424              22    [5, 2, 7, 4, 6, 0, 8, 3, 1]             
31                          1183              25    [7, 6, 4, 2, 8, 5, 1, 3, 0]             
32                           297              20    [5, 2, 1, 4, 6, 0, 8, 7, 3]             
33                           543              23    [8, 7, 1, 5, 3, 2, 6, 4, 0]             
34                           728              24    [3, 4, 7, 0, 2, 8, 5, 6, 1]             
35                           193              17    [1, 4, 2, 5, 3, 8, 7, 6, 0]             
36                           270              21    [0, 5, 1, 6, 3, 2, 8, 4, 7]             
37                            99              15    [1, 7, 2, 4, 0, 3, 6, 8, 5]             
38                          2572              25    [7, 6, 0, 1, 3, 5, 8, 2, 4]             
39                           355              18    [3, 0, 6, 1, 2, 4, 5, 7, 8]             
40                           785              23    [4, 6, 2, 3, 1, 7, 5, 8, 0]             
41                           506              22    [6, 1, 2, 5, 7, 0, 3, 8, 4]             
42                           310              23    [4, 8, 5, 2, 6, 7, 3, 1, 0]             
43                           497              21    [7, 1, 2, 3, 4, 5, 6, 8, 0]             
44                           368              23    [4, 1, 7, 3, 8, 2, 6, 5, 0]             
45                           762              24    [3, 6, 4, 0, 5, 8, 7, 2, 1]             
46                          1301              24    [1, 6, 4, 7, 5, 8, 3, 0, 2]             
47                           197              19    [3, 5, 4, 1, 8, 6, 7, 2, 0]             
48                           385              21    [4, 5, 1, 7, 0, 8, 3, 6, 2]             
49                           397              22    [8, 2, 4, 6, 5, 1, 7, 0, 3]             
50                            40              15    [1, 6, 8, 2, 3, 7, 5, 4, 0]             
51                            12              10    [2, 0, 3, 1, 6, 8, 5, 4, 7]             
52                           149              19    [2, 3, 8, 4, 0, 7, 6, 5, 1]             
53                           623              23    [8, 4, 6, 5, 0, 3, 2, 1, 7]             
54                           382              23    [0, 2, 4, 8, 6, 7, 5, 1, 3]             
55                           338              21    [6, 8, 0, 1, 3, 4, 7, 5, 2]             
56                          2818              26    [8, 3, 2, 0, 6, 1, 5, 4, 7]             
57                           220              21    [4, 6, 1, 8, 0, 7, 2, 3, 5]             
58                           746              24    [8, 2, 7, 6, 3, 1, 4, 0, 5]             
59                            68              16    [8, 1, 2, 6, 3, 0, 4, 5, 7]             
60                          1610              25    [8, 2, 0, 7, 3, 6, 4, 1, 5]             
61                          2651              27    [8, 5, 7, 1, 0, 4, 2, 3, 6]             
62                           273              18    [5, 0, 2, 4, 1, 6, 3, 7, 8]             
63                          1284              24    [1, 2, 4, 6, 8, 0, 3, 5, 7]             
64                           665              22    [4, 7, 2, 0, 8, 5, 3, 1, 6]             
65                           775              23    [8, 3, 0, 5, 2, 1, 7, 6, 4]             
66                          3107              27    [0, 3, 7, 2, 5, 1, 6, 8, 4]             
67                          1138              25    [4, 8, 0, 1, 2, 7, 6, 3, 5]             
68                           379              22    [1, 4, 8, 0, 2, 5, 6, 7, 3]             
69                          4210              28    [5, 4, 7, 3, 1, 8, 6, 0, 2]             
70                           531              22    [8, 0, 5, 4, 2, 6, 3, 1, 7]             
71                           481              20    [1, 2, 4, 6, 8, 0, 5, 7, 3]             
